Time	Clamp	Extensionnm	Force	ssExt	Jindex	Step
0	0	2469.8911671409	0.201386771463095	688.202168605958	22641.7271874399	1
0.00109000000000492	0	2443.15915371275	0.639373373435133	138.954956210233	1444.74613606544	1
0.00219000000000591	0	2446.98245995354	0.506242946268411	222.496894444273	2917.41092042454	1
0.00328999999999979	0	2434.16433071941	0.742778469773972	83.9354056316382	752.269244199673	1
0.00430000000000064	0	2454.22099098223	0.310857200644277	435.477751207366	9285.68631277311	1
0.00539000000000556	0	2435.58111773643	0.718598515513371	95.162072157666	881.275816376178	1
0.00649000000000655	0	2431.035789224	0.794320005052031	61.4664085180369	515.554919522998	1
0.00759000000000043	0	2418.60027726472	1.0608209946892	-26.5423057953513	-167.539077895532	1
0.00860000000000127	0	2434.94560217317	0.703091618642657	101.04724227301	956.206243841354	1
0.00959000000000287	0	2441.33716720869	0.530935647300206	199.558875108773	2495.55603081744	1
0.0106099999999998	0	2440.61096010552	0.52913924962433	200.01387589604	2509.69204047384	1
0.0116000000000014	0	2438.7220118149	0.571694761186895	171.192070013249	1989.04599048734	1
0.0126000000000062	0	2450.94980373252	0.300508082755097	448.631745064995	9895.10220722911	1
0.0135900000000007	0	2429.03042314122	0.770055780524746	68.2102804597529	589.921975456604	1
0.0146000000000015	0	2443.005730012	0.457879830844741	256.096451083215	3711.03723891752	1
0.0156000000000063	0	2431.04774590287	0.710640795396656	93.8207448980778	878.483990934422	1
0.0166900000000041	0	2436.53584128116	0.558451629869865	176.956621365343	2104.47628497742	1
0.0177000000000049	0	2433.61420443197	0.631364767844777	133.152800476258	1401.84069967792	1
0.0187000000000026	0	2442.59590789146	0.424880275637437	285.223576067737	4452.93228686739	1
0.0196900000000042	0	2441.53413140212	0.453484841170104	258.318979541974	3779.38153804735	1
0.0207900000000052	0	2438.77453114113	0.499326503964033	219.077808687809	2912.17800515296	1
0.0219000000000023	0	2427.58017543137	0.694983584200947	96.9711778288662	928.235719864151	1
0.0229100000000031	0	2433.23857044436	0.574711497065521	163.758920673418	1892.75751139968	1
0.0239000000000047	0	2431.17030221718	0.60276258958171	145.708668905595	1606.26831428793	1
0.0250000000000057	0	2435.9413646807	0.521294446775613	200.534241959889	2553.88708629142	1
0.0260000000000034	0	2431.43976175384	0.592075308066091	151.911177659223	1704.66040791512	1
0.0270900000000012	0	2435.09815106067	0.507947871245561	209.031576808465	2731.69672562861	1
0.0280900000000059	0	2427.50873001224	0.665976375911771	110.002071906167	1098.40507175844	1
0.0291899999999998	0	2429.43502586695	0.584778129497976	153.98964014891	1749.40077124539	1
0.0302900000000008	0	2439.28771558416	0.352296744226587	361.713063406449	6807.15048148929	1
0.0313000000000017	0	2426.21725791468	0.653679477877439	114.501557098989	1164.65571548951	1
0.0323900000000066	0	2439.80037140744	0.316492031549526	411.985259546481	8628.60478185739	1
0.0334000000000003	0	2430.46009429855	0.499147085489469	210.646020143419	2801.09690539236	1
0.0344900000000052	0	2418.83387472721	0.789754101317521	50.5237511972571	426.19140750432	1
0.0355900000000062	0	2428.95425496698	0.492616996722762	213.953913276268	2882.62270218968	1
0.0366900000000001	0	2426.54204106533	0.578658673723092	154.547900819856	1774.18804588364	1
0.0376900000000049	0	2424.39242718195	0.588176615407684	146.856013198435	1658.78343020374	1
0.0387900000000059	0	2419.89666950861	0.669363206124208	100.585671049972	999.342044784968	1
0.0398899999999998	0	2425.35347881792	0.570823722291056	157.940702339634	1837.86359416337	1
0.0408900000000045	0	2434.43019006598	0.346636623103812	364.032876563567	6962.43538671695	1
0.0419900000000055	0	2411.49998297895	0.81280180370585	34.9119806774886	286.25454981989	1
0.0430900000000065	0	2431.70901399289	0.365732195240167	337.243991273451	6114.02409507447	1
0.0441000000000003	0	2425.0156894699	0.501954657538777	202.98001549124	2684.13101706773	1
0.0450900000000019	0	2430.15436011136	0.399430123267226	297.799273144569	4944.56282001023	1
0.0461000000000027	0	2427.17067484076	0.441394946632295	254.110557890447	3819.26083778785	1
0.0471900000000005	0	2422.7125805365	0.541414313199187	173.484400289499	2127.7247441127	1
0.0482900000000015	0	2414.09276221324	0.684847728484801	87.558938682223	850.425770228802	1
0.0493900000000025	0	2420.90680976291	0.52000735810309	185.935268819657	2373.79390547746	1
0.0504900000000035	0	2429.8372413222	0.344856144967634	361.644785161115	6952.39874265168	1
0.0515000000000043	0	2420.26008762414	0.539003655881235	172.524903221155	2125.3674125447	1
0.052500000000002	0	2433.02897832829	0.253117967710781	518.871020493791	13584.1753471107	1
0.0535899999999998	0	2426.64314843035	0.369330640383031	327.726234747977	5883.72032275256	1
0.0546900000000008	0	2420.61174202143	0.509696548491755	192.861407301399	2511.77466024814	1
0.0557000000000016	0	2419.91784653838	0.470034114346663	222.26705129361	3137.86608962948	1
0.0567000000000064	0	2414.04431591957	0.599841289981418	129.671911104686	1436.39439907803	1
0.0577000000000041	0	2417.72230720431	0.52754922265018	177.508755858237	2233.98437029913	1
0.0587000000000018	0	2412.63578642568	0.642346999975386	106.040019434106	1097.45923302358	1
0.0597900000000067	0	2416.08871730147	0.543261457088196	165.468889817478	2022.55588326854	1
0.0607900000000043	0	2410.66823173024	0.637503473863802	106.422920448706	1109.72274475607	1
0.0618000000000052	0	2411.99229736332	0.610607824388642	121.710367791825	1324.59915565147	1
0.0628000000000029	0	2414.17740981234	0.551265780867324	158.403998235974	1908.24717250774	1
0.0638900000000007	0	2413.66481640715	0.58831229640855	135.729498745771	1532.75485390928	1
0.0649000000000015	0	2408.3202543884	0.637457463800156	104.02753029068	1084.82253448971	1
